"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","Subtype/Genotype (GenBank)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"252","ABR1005","Yellow fever virus",NA,"-N/A-","MK333798","11007","-N/A-","01/08/2018","Human","Homo sapiens","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"253","ABR1009","Yellow fever virus",NA,"-N/A-","MK333799","11007","-N/A-","01/08/2018","Human","Homo sapiens","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"254","ES03","Yellow fever virus",NA,"-N/A-","MK333800","11007","-N/A-","02/20/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"255","ES2682","Yellow fever virus",NA,"-N/A-","MK333801","11007","-N/A-","04/05/2017","Mosquito","Haemagogus janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"256","ES2750","Yellow fever virus",NA,"-N/A-","MK333802","11007","-N/A-","04/05/2017","Mosquito","Haemagogus leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"257","GO05","Yellow fever virus",NA,"-N/A-","MK333803","11007","-N/A-","04/20/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"258","GO27","Yellow fever virus",NA,"-N/A-","MK333804","11007","-N/A-","08/17/2015","Monkey","Sapajus libidinosus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"259","IG3036","Yellow fever virus",NA,"-N/A-","MK333805","10354","-N/A-","02/07/2018","Mosquito","Sabethes chloropterus","Brazil","genomic RNA",10354,1.0354,">90%","South America","Brazil"
"260","JF2793","Yellow fever virus",NA,"-N/A-","MK333806","11007","-N/A-","01/27/2018","Mosquito","Haemagogus janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"261","MG3121","Yellow fever virus",NA,"-N/A-","MK333807","11007","-N/A-","01/18/2018","Mosquito","Haemagogus leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"262","MG3155","Yellow fever virus",NA,"-N/A-","MK333808","11007","-N/A-","01/29/2018","Mosquito","Haemagogus janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"263","VL2926","Yellow fever virus",NA,"-N/A-","MK333809","11007","-N/A-","01/19/2018","Mosquito","Haemagogus janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"264","SH356755","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595204","10516","-N/A-","2020","Human","Homo sapiens","Senegal","genomic RNA",10516,1.0516,">90%","Africa","Western Africa"
"265","17D-204","Yellow fever virus","West Africa Genotype II","-N/A-","MN106241","10772","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10772,1.0772,">90%",NA,NA
"266","Dakar HD 1279","Yellow fever virus","West Africa Genotype II","-N/A-","MN106242","10784","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10784,1.0784,">90%",NA,NA
"267","BNI-YFV-17","Yellow fever virus","West Africa Genotype II","-N/A-","MG922934","10786","-N/A-","2017","Human","Homo sapiens","Germany","genomic RNA",10786,1.0786,">90%","Europe","Western Europe"
"268","RJ173","Yellow fever virus",NA,"-N/A-","MK882599","9763","-N/A-","02/09/2017","Human","Homo sapiens","Brazil","genomic RNA",9763,0.9763,">90%","South America","Brazil"
"269","LABFLA09","Yellow fever virus","West Africa Genotype II","-N/A-","MK882600","10169","-N/A-","04/24/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"270","RJ141","Yellow fever virus",NA,"-N/A-","MK882601","10169","-N/A-","01/24/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"271","RJ147","Yellow fever virus",NA,"-N/A-","MK882602","9763","-N/A-","01/31/2017","Human","Homo sapiens","Brazil","genomic RNA",9763,0.9763,">90%","South America","Brazil"
"272","LABFLA10","Yellow fever virus",NA,"-N/A-","MK882603","10169","-N/A-","04/24/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"273","RJ177","Yellow fever virus",NA,"-N/A-","MK882604","10169","-N/A-","02/16/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"274","RJ181","Yellow fever virus",NA,"-N/A-","MK882605","9763","-N/A-","03/09/2017","Human","Homo sapiens","Brazil","genomic RNA",9763,0.9763,">90%","South America","Brazil"
"275","RJ180","Yellow fever virus",NA,"-N/A-","MK882606","9763","-N/A-","03/07/2017","Human","Homo sapiens","Brazil","genomic RNA",9763,0.9763,">90%","South America","Brazil"
"276","RJ182","Yellow fever virus",NA,"-N/A-","MK882607","10169","-N/A-","03/09/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"277","RJ183","Yellow fever virus",NA,"-N/A-","MK882608","9763","-N/A-","03/12/2017","Human","Homo sapiens","Brazil","genomic RNA",9763,0.9763,">90%","South America","Brazil"
"278","RJ184","Yellow fever virus","West Africa Genotype II","-N/A-","MK882609","10169","-N/A-","03/13/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"279","RJ186","Yellow fever virus",NA,"-N/A-","MK882610","10169","-N/A-","03/06/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"280","RJ188","Yellow fever virus",NA,"-N/A-","MK882611","10169","-N/A-","03/08/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"281","RJ189","Yellow fever virus",NA,"-N/A-","MK882612","10169","-N/A-","03/20/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"282","RJ193","Yellow fever virus",NA,"-N/A-","MK882613","10172","-N/A-","03/27/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"283","YFV-SH01/2016","Yellow fever virus","Angola Genotype","-N/A-","MG589641","10789","-N/A-","03/18/2016","Human","Homo sapiens","China","genomic RNA",10789,1.0789,">90%","Asia","China+"
"284","RJ195","Yellow fever virus",NA,"-N/A-","MK882614","10169","-N/A-","04/17/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"285","RJ194","Yellow fever virus",NA,"-N/A-","MK882615","10104","-N/A-","03/27/2017","Human","Homo sapiens","Brazil","genomic RNA",10104,1.0104,">90%","South America","Brazil"
"286","RJ197","Yellow fever virus",NA,"-N/A-","MK882616","10169","-N/A-","04/17/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"287","RJ201","Yellow fever virus",NA,"-N/A-","MK882617","10169","-N/A-","11/28/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"288","RJ213","Yellow fever virus",NA,"-N/A-","MK882618","10169","-N/A-","01/22/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"289","RJ216","Yellow fever virus",NA,"-N/A-","MK882619","10169","-N/A-","01/25/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"290","RJ217","Yellow fever virus","West Africa Genotype II","-N/A-","MK882620","10169","-N/A-","02/05/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"291","RJ219","Yellow fever virus",NA,"-N/A-","MK882621","10169","-N/A-","02/05/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"292","858A1","Yellow fever virus","West Africa Genotype II","-N/A-","MN211304","10734","-N/A-","-N/A-","Human","Homo sapiens","Nigeria","genomic RNA",10734,1.0734,">90%","Africa","Western Africa"
"293","816-V1","Yellow fever virus","West Africa Genotype II","-N/A-","MN211305","10638","-N/A-","-N/A-","Human","Homo sapiens","Nigeria","genomic RNA",10638,1.0638,">90%","Africa","Western Africa"
"294","693-X1","Yellow fever virus","West Africa Genotype II","-N/A-","MN211306","10798","-N/A-","-N/A-","Human","Homo sapiens","Nigeria","genomic RNA",10798,1.0798,">90%","Africa","Western Africa"
"295","0652X1","Yellow fever virus","West Africa Genotype II","-N/A-","MN211307","10652","-N/A-","-N/A-","Human","Homo sapiens","Nigeria","genomic RNA",10652,1.0652,">90%","Africa","Western Africa"
"296","0486K1","Yellow fever virus","West Africa Genotype II","-N/A-","MN211308","10640","-N/A-","-N/A-","Human","Homo sapiens","Nigeria","genomic RNA",10640,1.064,">90%","Africa","Western Africa"
"297","0418R1","Yellow fever virus","West Africa Genotype II","-N/A-","MN211309","10564","-N/A-","-N/A-","Human","Homo sapiens","Nigeria","genomic RNA",10564,1.0564,">90%","Africa","Western Africa"
"298","0410R1","Yellow fever virus","West Africa Genotype II","-N/A-","MN211310","10656","-N/A-","-N/A-","Human","Homo sapiens","Nigeria","genomic RNA",10656,1.0656,">90%","Africa","Western Africa"
"299","1060E1","Yellow fever virus","West Africa Genotype II","-N/A-","MN211311","10758","-N/A-","-N/A-","Human","Homo sapiens","Nigeria","genomic RNA",10758,1.0758,">90%","Africa","Western Africa"
"300","1082-X1","Yellow fever virus","West Africa Genotype II","-N/A-","MN211301","10752","-N/A-","-N/A-","Human","Homo sapiens","Nigeria","genomic RNA",10752,1.0752,">90%","Africa","Western Africa"
"301","959R1","Yellow fever virus","West Africa Genotype II","-N/A-","MN211302","10718","-N/A-","-N/A-","Human","Homo sapiens","Nigeria","genomic RNA",10718,1.0718,">90%","Africa","Western Africa"
"302","898-X1","Yellow fever virus","West Africa Genotype II","-N/A-","MN211303","10645","-N/A-","-N/A-","Human","Homo sapiens","Nigeria","genomic RNA",10645,1.0645,">90%","Africa","Western Africa"
"303","17D-204","Yellow fever virus","West Africa Genotype II","-N/A-","MN708488","10862","-N/A-","02/07/2019","Unknown","-N/A-","France","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"304","17D-204","Yellow fever virus","West Africa Genotype II","-N/A-","MN708489","10862","-N/A-","02/07/2019","Unknown","-N/A-","Belgium","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"305","17D-204","Yellow fever virus","West Africa Genotype II","-N/A-","MN708490","10862","-N/A-","02/07/2019","Unknown","-N/A-","Belgium","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"306","17D-204","Yellow fever virus","West Africa Genotype II","-N/A-","MN708491","10862","-N/A-","02/07/2019","Unknown","-N/A-","Belgium","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"307","17D-204","Yellow fever virus","West Africa Genotype II","-N/A-","MN708492","10862","-N/A-","02/07/2019","Unknown","-N/A-","Belgium","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"308","RJ96","Yellow fever virus",NA,"-N/A-","MF423378","11007","-N/A-","04/19/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"309","17D-204","Yellow fever virus","West Africa Genotype II","-N/A-","MN708493","10862","-N/A-","02/07/2019","Unknown","-N/A-","Belgium","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"310","17D-204","Yellow fever virus","West Africa Genotype II","-N/A-","MN708494","10862","-N/A-","02/07/2019","Unknown","-N/A-","Belgium","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"311","17D-204","Yellow fever virus","West Africa Genotype II","-N/A-","MN708495","10862","-N/A-","02/07/2019","Unknown","-N/A-","Belgium","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"312","17D-204","Yellow fever virus","West Africa Genotype II","-N/A-","MN708496","10862","-N/A-","02/07/2019","Unknown","-N/A-","Belgium","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"313","17D-204","Yellow fever virus","West Africa Genotype II","-N/A-","MN708497","10862","-N/A-","02/07/2019","Unknown","-N/A-","Belgium","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"314","0054K","Yellow fever virus","West Africa Genotype II","-N/A-","MN958078","10611","-N/A-","2018","Human","Homo sapiens","Nigeria","genomic RNA",10611,1.0611,">90%","Africa","Western Africa"
"315","YFV/Monkey/Brazil/2018/SA131","Yellow fever virus",NA,"-N/A-","MH193175","10169","-N/A-","02/01/2018","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"316","YFV/Human/Brazil/2018/S130","Yellow fever virus",NA,"-N/A-","MH193174","10169","-N/A-","01/09/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"317","YFV/Monkey/Brazil/2018/SA129","Yellow fever virus",NA,"-N/A-","MH193173","10169","-N/A-","01/09/2018","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"318","YF05-443","Yellow fever virus",NA,"-N/A-","MN117917","10172","-N/A-","02/15/2017","Mosquito","Ochlerotatus scapularis","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"319","PA193","Yellow fever virus",NA,"-N/A-","MF423373","11007","-N/A-","02/21/2017","Mosquito","Haemagogus leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"320","PA196","Yellow fever virus",NA,"-N/A-","MF423374","11007","-N/A-","02/23/2017","Mosquito","Haemagogus janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"321","YFV/Monkey/Brazil/2017/Y1","Yellow fever virus",NA,"-N/A-","MH030049","10169","-N/A-","08/17/2017","Monkey","Callithrix sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"322","YFV/Monkey/Brazil/2017/Y2","Yellow fever virus",NA,"-N/A-","MH030050","10169","-N/A-","08/16/2017","Monkey","Callicebus sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"323","YFV/Monkey/Brazil/2017/Y3","Yellow fever virus",NA,"-N/A-","MH030051","10169","-N/A-","09/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"324","YFV/Monkey/Brazil/2017/Y4","Yellow fever virus",NA,"-N/A-","MH030052","10169","-N/A-","09/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"325","YFV/Monkey/Brazil/2017/Y5","Yellow fever virus",NA,"-N/A-","MH030053","10169","-N/A-","08/30/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"326","YFV/Monkey/Brazil/2017/Y6","Yellow fever virus",NA,"-N/A-","MH030054","10169","-N/A-","09/15/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"327","YFV/Monkey/Brazil/2017/Y7","Yellow fever virus",NA,"-N/A-","MH030055","10169","-N/A-","09/11/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"328","UNKNOWN-LY683293","Yellow fever virus","West Africa Genotype II","-N/A-","LY683293","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10862,1.0862,">90%",NA,NA
"329","YFV/Monkey/Brazil/2017/Y8","Yellow fever virus",NA,"-N/A-","MH030056","10169","-N/A-","09/12/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"330","YFV/Monkey/Brazil/2017/Y9","Yellow fever virus",NA,"-N/A-","MH030057","10169","-N/A-","09/27/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"331","YFV/Monkey/Brazil/2017/Y10","Yellow fever virus",NA,"-N/A-","MH030058","10169","-N/A-","09/26/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"332","YFV/Monkey/Brazil/2017/Y11","Yellow fever virus",NA,"-N/A-","MH030059","10169","-N/A-","09/21/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"333","YFV/Monkey/Brazil/2017/Y12","Yellow fever virus",NA,"-N/A-","MH030060","10169","-N/A-","09/27/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"334","YFV/Monkey/Brazil/2017/Y13","Yellow fever virus",NA,"-N/A-","MH030061","10169","-N/A-","09/21/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"335","YFV/Monkey/Brazil/2017/Y14","Yellow fever virus",NA,"-N/A-","MH030062","10169","-N/A-","09/19/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"336","YFV/Monkey/Brazil/2017/Y15","Yellow fever virus",NA,"-N/A-","MH030063","10169","-N/A-","10/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"337","YFV/Monkey/Brazil/2017/Y16","Yellow fever virus",NA,"-N/A-","MH030064","10169","-N/A-","10/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"338","YFV/Monkey/Brazil/2017/Y17","Yellow fever virus",NA,"-N/A-","MH030065","10169","-N/A-","10/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"339","YFV/Monkey/Brazil/2017/Y18","Yellow fever virus",NA,"-N/A-","MH030066","10169","-N/A-","10/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"340","YFV/Monkey/Brazil/2017/Y19","Yellow fever virus",NA,"-N/A-","MH030067","10169","-N/A-","10/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"341","RJ94","Yellow fever virus",NA,"-N/A-","MF423376","11007","-N/A-","04/13/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"342","YFV/Monkey/Brazil/2017/Y20","Yellow fever virus",NA,"-N/A-","MH030068","10169","-N/A-","10/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"343","YFV/Monkey/Brazil/2017/Y21","Yellow fever virus",NA,"-N/A-","MH030069","10169","-N/A-","10/2017","Unknown","-N/A-","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"344","YFV/Monkey/Brazil/2017/Y22","Yellow fever virus",NA,"-N/A-","MH030070","10169","-N/A-","10/19/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"345","YFV/Monkey/Brazil/2017/Y23","Yellow fever virus",NA,"-N/A-","MH030071","10169","-N/A-","10/18/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"346","YFV/Monkey/Brazil/2017/Y24","Yellow fever virus",NA,"-N/A-","MH030072","10169","-N/A-","10/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"347","YFV/Monkey/Brazil/2017/Y25","Yellow fever virus",NA,"-N/A-","MH030073","10169","-N/A-","10/18/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"348","YFV/Monkey/Brazil/2017/Y26","Yellow fever virus",NA,"-N/A-","MH030074","10169","-N/A-","10/18/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"349","YFV/Monkey/Brazil/2017/Y27","Yellow fever virus",NA,"-N/A-","MH030075","10169","-N/A-","10/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"350","UNKNOWN-LY683279","Yellow fever virus","West Africa Genotype II","-N/A-","LY683279","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10862,1.0862,">90%",NA,NA
"351","MR1356","Yellow fever virus",NA,"-N/A-","MK089775","10354","-N/A-","05/06/2017","Mosquito","Ochlerotatus taeniorhynchus","Brazil","genomic RNA",10354,1.0354,">90%","South America","Brazil"
"352","YFV/Monkey/Brazil/2017/Y28","Yellow fever virus",NA,"-N/A-","MH030076","10169","-N/A-","10/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"353","YFV/Monkey/Brazil/2017/Y29","Yellow fever virus",NA,"-N/A-","MH030077","10169","-N/A-","10/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"354","YFV/Monkey/Brazil/2017/Y30","Yellow fever virus",NA,"-N/A-","MH030078","10169","-N/A-","10/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"355","YFV/Monkey/Brazil/2017/Y31","Yellow fever virus",NA,"-N/A-","MH030079","10169","-N/A-","11/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"356","YFV/Monkey/Brazil/2017/Y32","Yellow fever virus",NA,"-N/A-","MH030080","10169","-N/A-","11/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"357","YFV/Monkey/Brazil/2017/Y33","Yellow fever virus",NA,"-N/A-","MH030081","10169","-N/A-","11/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"358","YFV/Monkey/Brazil/2017/Y34","Yellow fever virus",NA,"-N/A-","MH030082","10169","-N/A-","11/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"359","YFV/Monkey/Brazil/2017/Y35","Yellow fever virus",NA,"-N/A-","MH030083","10169","-N/A-","11/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"360","YFV/Monkey/Brazil/2017/Y36","Yellow fever virus",NA,"-N/A-","MH030084","10169","-N/A-","11/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"361","YFV/Monkey/Brazil/2017/Y37","Yellow fever virus",NA,"-N/A-","MH030085","10169","-N/A-","11/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"362","YFV/Monkey/Brazil/2017/Y38","Yellow fever virus",NA,"-N/A-","MH030086","10169","-N/A-","11/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"363","YFV/Human/Brazil/2017/Y39","Yellow fever virus",NA,"-N/A-","MH030087","10169","-N/A-","04/26/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"364","YFV/Human/Brazil/2017/Y40","Yellow fever virus","West Africa Genotype II","-N/A-","MH030088","10169","-N/A-","05/03/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"365","YFV/Human/Brazil/2017/Y41","Yellow fever virus",NA,"-N/A-","MH030089","10169","-N/A-","05/03/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"366","YFV/Human/Brazil/2017/Y42","Yellow fever virus",NA,"-N/A-","MH030090","10169","-N/A-","05/02/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"367","YFV/Human/Brazil/2017/Y43","Yellow fever virus","West Africa Genotype II","-N/A-","MH030091","10169","-N/A-","05/29/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"368","YFV_t146a163_11Jan_pl","Yellow fever virus",NA,"-N/A-","MK760660","10869","-N/A-","01/11/2018","Human","Homo sapiens","Netherlands","genomic RNA",10869,1.0869,">90%","Europe","Western Europe"
"369","YFV_t146a164_11Jan_ur","Yellow fever virus",NA,"-N/A-","MK760661","10850","-N/A-","01/11/2018","Human","Homo sapiens","Netherlands","genomic RNA",10850,1.085,">90%","Europe","Western Europe"
"370","YFV_t146a208_Jan12_ur","Yellow fever virus",NA,"-N/A-","MK760662","10884","-N/A-","01/12/2018","Human","Homo sapiens","Netherlands","genomic RNA",10884,1.0884,">90%","Europe","Western Europe"
"371","YFV_t146a210_Jan13_ur","Yellow fever virus",NA,"-N/A-","MK760663","10856","-N/A-","01/13/2018","Human","Homo sapiens","Netherlands","genomic RNA",10856,1.0856,">90%","Europe","Western Europe"
"372","YFV_t146a211_Jan14_ur","Yellow fever virus",NA,"-N/A-","MK760664","10835","-N/A-","01/14/2018","Human","Homo sapiens","Netherlands","genomic RNA",10835,1.0835,">90%","Europe","Western Europe"
"373","YFV_t146a212_Jan19_ur","Yellow fever virus",NA,"-N/A-","MK760665","10786","-N/A-","01/19/2018","Human","Homo sapiens","Netherlands","genomic RNA",10786,1.0786,">90%","Europe","Western Europe"
"374","YFV_t146a335_Jan12_cu","Yellow fever virus",NA,"-N/A-","MK760666","10924","-N/A-","01/12/2018","Human","Homo sapiens","Netherlands","genomic RNA",10924,1.0924,">90%","Europe","Western Europe"
"375","PR5782-BeAn838691","Yellow fever virus",NA,"-N/A-","MF370534","11007","-N/A-","04/05/2016","Monkey","Callithrix penicillata","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"376","YFV/Monkey/Brazil/2016/PNH106_CP224","Yellow fever virus",NA,"-N/A-","MT497520","10172","-N/A-","10/10/2016","Monkey","Sapajus sp.","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"377","YFV/Monkey/Brazil/2016/PNH12_CP159","Yellow fever virus",NA,"-N/A-","MT497521","10172","-N/A-","10/13/2016","Black Howler","Alouatta sp.","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"378","YFV/Monkey/Brazil/2016/PNH504_CP182","Yellow fever virus",NA,"-N/A-","MT497522","10172","-N/A-","11/15/2016","Black Howler","Alouatta sp.","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"379","YFV/Monkey/Brazil/2016/PNH94_CP227","Yellow fever virus",NA,"-N/A-","MT497523","10172","-N/A-","11/16/2016","Black Howler","Alouatta sp.","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"380","YFV/Monkey/Brazil/2016/PNH160_CP164","Yellow fever virus",NA,"-N/A-","MT497524","10172","-N/A-","12/12/2016","Black Howler","Alouatta sp.","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"381","YFV/Monkey/Brazil/2017/PNH580_CP179","Yellow fever virus",NA,"-N/A-","MT497525","10172","-N/A-","01/21/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"382","YF","Yellow fever virus 17D",NA,"-N/A-","MT505351","11519","-N/A-","05/19/2020","Unknown","-N/A-","United States of America","genomic RNA",11519,1.1519,">90%","North America","USA"
"383","YF4","Yellow fever virus 17D",NA,"-N/A-","MT505352","11519","-N/A-","05/19/2020","Unknown","-N/A-","United States of America","genomic RNA",11519,1.1519,">90%","North America","USA"
"384","PR5873-BeAn843840","Yellow fever virus",NA,"-N/A-","MF370538","11007","-N/A-","01/20/2017","Monkey","Callithrix penicillata","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"385","PR5908-BeAn844641","Yellow fever virus",NA,"-N/A-","MF370541","11005","-N/A-","02/28/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",11005,1.1005,">90%","South America","Brazil"
