"","Strain Name","Virus Species","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","Segment","Protein Name","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"232","2007000225","Rift Valley fever phlebovirus","EU574082","1691","-N/A-","01/16/2007","Cattle","bovine","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"233","OS-1","Rift Valley fever phlebovirus","DQ375398","6404","-N/A-","1987","Unknown","-N/A-","Mauritania","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Western Africa"
"234","TAN/Tan-001/07","Rift Valley fever phlebovirus","HM586970","3885","-N/A-","02/08/2007","Unknown","-N/A-","Tanzania","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Southern Africa"
"235","KEN/Gar-004/06","Rift Valley fever phlebovirus","HM586975","1691","-N/A-","12/21/2006","Unknown","-N/A-","Kenya","genomic RNA","S","non-structural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"236","SA59/10","Rift Valley fever phlebovirus","HM587091","490","-N/A-","2010","Human","Homo sapiens","South Africa","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"237","2007000225","Rift Valley fever phlebovirus","EU574025","6404","-N/A-","01/16/2007","Cattle","bovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"238","0892-08","Rift Valley fever phlebovirus","GQ443245","756","-N/A-","03/26/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"239","2007000253","Rift Valley fever phlebovirus","JF326201","1691","-N/A-","12/29/2006","Mosquito","mosquito","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"240","KEN/Gar-008/06","Rift Valley fever phlebovirus","HM586954","6404","-N/A-","12/21/2006","Human","Homo sapiens","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"241","0847-08","Rift Valley fever phlebovirus","GQ443232","756","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"242","M31_ARBkcx_SN_BA_2002","Rift Valley fever phlebovirus","JN995324","718","-N/A-","2002","Mosquito","Culex poicilipes","Senegal","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"243","KEN56/B2653/IB8","Rift Valley fever phlebovirus","HM587118","490","-N/A-","1963","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"244","2007001602","Rift Valley fever phlebovirus","EU574043","3885","-N/A-","01/30/2007","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"245","KEN/Mal-032/07","Rift Valley fever phlebovirus","HM586956","6404","-N/A-","01/15/2007","Human","Homo sapiens","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"246","2007002444","Rift Valley fever phlebovirus","EU574065","1691","-N/A-","02/05/2007","Cattle","bovine","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"247","2250/74","Rift Valley fever phlebovirus","DQ380209","3885","-N/A-","1974","Cattle","bovine","Zimbabwe","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Southern Africa"
"248","ANK-6087","Rift Valley fever phlebovirus","DQ380216","3885","-N/A-","1984","Bat","Micropterus caffer (bat)","Guinea","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Western Africa"
"249","1627-08","Rift Valley fever phlebovirus","GQ443166","627","-N/A-","04/18/2008","Cattle","Bos taurus","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"250","S356_ARMcx_MR_GI_2003","Rift Valley fever phlebovirus","JN995292","601","-N/A-","2003","Mosquito","Culex poicilipes","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"251","2007002476","Rift Valley fever phlebovirus","EU574010","6404","-N/A-","02/21/2007","Cattle","bovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"252","M22_ANM_MR_HG_1998","Rift Valley fever phlebovirus","JN995314","718","-N/A-","1998","Goat","goat","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"253","VRL1516/78","Rift Valley fever phlebovirus","HM587044","490","-N/A-","1978","Sheep","ovine","Zimbabwe","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"254","S38_ARBkmuf_SN_BA_2003","Rift Valley fever phlebovirus","JN995296","601","-N/A-","2003","Mosquito","Mansonia uniformis","Senegal","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"255","S35","Rift Valley fever phlebovirus","HM587045","490","-N/A-","1972","Sheep","ovine","Kenya","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"256","200803170","Rift Valley fever phlebovirus","JF311394","1691","-N/A-","03/2008","Cattle","bovine","Madagascar","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"257","M5_HM_MR_ML_2003","Rift Valley fever phlebovirus","JN995332","718","-N/A-","2003","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"258","211856","Rift Valley fever phlebovirus","KF717588","680","-N/A-","12/05/2010","Human","Homo sapiens","Mauritania","genomic RNA","M","glycoprotein",680,0.0566666666666667,"0-50%","Africa","Western Africa"
"259","Kenya 57 (Rintoul)","Rift Valley fever phlebovirus","DQ375431","6404","-N/A-","1951","Unknown","-N/A-","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"260","VRL2373/74","Rift Valley fever phlebovirus","HM587121","490","-N/A-","1974","Cow","bovine fetus","Zimbabwe","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"261","T-46 (228113)","Rift Valley fever phlebovirus","DQ375405","6404","-N/A-","1977","Unknown","-N/A-","Egypt","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Northern Africa"
"262","763/70","Rift Valley fever phlebovirus","DQ380188","3885","-N/A-","1970","Cattle","bovine","Zimbabwe","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Southern Africa"
"263","S14_ANM_MR_AA_1998","Rift Valley fever phlebovirus","JN995276","601","-N/A-","1998","Mosquito","Culex poicilipes","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"264","Sudan 133-2007","Rift Valley fever phlebovirus","JQ820478","1690","-N/A-","11/2007","Human","Homo sapiens","Sudan","genomic RNA","S","nonstructural protein, nucleocapsid protein",1690,0.140833333333333,"0-50%","Africa","Eastern Africa"
"265","RFV-Moz-Gob-T9-2014","Rift Valley fever phlebovirus","KU645397","560","-N/A-","03/2014","Goat","Capra aegagrus hircus","Mozambique","genomic RNA","M","envelope glycoprotein",560,0.0466666666666667,"0-50%","Africa","Southern Africa"
"266","RFV-Moz-Gob-T7-2014","Rift Valley fever phlebovirus","KU645396","547","-N/A-","03/2014","Goat","Capra aegagrus hircus","Mozambique","genomic RNA","M","envelope glycoprotein",547,0.0455833333333333,"0-50%","Africa","Southern Africa"
"267","MgH824","Rift Valley fever phlebovirus","HM587040","490","-N/A-","1979","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"268","200803166","Rift Valley fever phlebovirus","JF311390","1691","-N/A-","02/1991","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"269","ANK-3837","Rift Valley fever phlebovirus","DQ380215","3885","-N/A-","1981","Bat","Hipposideros caffer (bat)","Guinea","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Western Africa"
"270","2007002482","Rift Valley fever phlebovirus","EU574035","3885","-N/A-","02/21/2007","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"271","Sudan 4-2010","Rift Valley fever phlebovirus","JQ820473","1690","-N/A-","10/2010","Human","Homo sapiens","Sudan","genomic RNA","S","nonstructural protein, nucleocapsid protein",1690,0.140833333333333,"0-50%","Africa","Eastern Africa"
"272","1585-08","Rift Valley fever phlebovirus","GQ443164","627","-N/A-","04/13/2008","Goat","Capra hircus","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"273","0853-08","Rift Valley fever phlebovirus","GQ443238","756","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"274","ZH-1776","Rift Valley fever phlebovirus","DQ380203","3885","-N/A-","1978","Human","Homo sapiens","Egypt","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Northern Africa"
"275","OS-3","Rift Valley fever phlebovirus","DQ375396","6404","-N/A-","1987","Unknown","-N/A-","Mauritania","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Western Africa"
"276","MP-12","Rift Valley fever phlebovirus","DQ380154","1690","-N/A-","1977","Unknown","-N/A-","Egypt","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Northern Africa"
"277","FI-28","Rift Valley fever phlebovirus","GU135841","627","-N/A-","12/19/2008","Mosquito","Anopheles squamosus","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"278","FI-79","Rift Valley fever phlebovirus","GU135842","627","-N/A-","12/20/2008","Mosquito","Anopheles squamosus","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"279","S226_HM_MR_NK_1987","Rift Valley fever phlebovirus","JN995254","601","-N/A-","1987","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"280","74HB59","Rift Valley fever phlebovirus","DQ380212","3885","-N/A-","1974","Human","Homo sapiens","Central African Republic","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Western Africa"
"281","1695-08","Rift Valley fever phlebovirus","GQ443167","627","-N/A-","04/20/2008","Sheep","Ovis aries","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"282","S223_HM_MR_TE_1987","Rift Valley fever phlebovirus","JN995256","601","-N/A-","1987","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"283","S30_ARMcx_MR_AA_1999","Rift Valley fever phlebovirus","JN995275","601","-N/A-","1999","Mosquito","Culex poicilipes","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"284","2007000224","Rift Valley fever phlebovirus","EU574026","6404","-N/A-","01/16/2007","Cattle","bovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"285","0854-08","Rift Valley fever phlebovirus","GQ443151","627","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"286","2007000223","Rift Valley fever phlebovirus","EU574027","6404","-N/A-","01/16/2007","Cattle","bovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"287","2007000618","Rift Valley fever phlebovirus","EU574021","6404","-N/A-","01/29/2007","Cattle","bovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"288","OS-3","Rift Valley fever phlebovirus","DQ380184","3885","-N/A-","1987","Human","Homo sapiens","Mauritania","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Western Africa"
"289","2007000473","Rift Valley fever phlebovirus","EU574024","6404","-N/A-","01/26/2007","Sheep","ovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"290","MP-12","Rift Valley fever phlebovirus","DQ375404","6404","-N/A-","1977","Unknown","-N/A-","Egypt","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Northern Africa"
"291","SA-75","Rift Valley fever phlebovirus","DQ380189","3885","-N/A-","1975","Human","Homo sapiens","South Africa","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Southern Africa"
"292","2007000611","Rift Valley fever phlebovirus","EU574022","6404","-N/A-","01/29/2007","Cattle","bovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"293","pp13_74HB59","Rift Valley fever phlebovirus","DQ380182","1141","-N/A-","1974","Unknown","-N/A-","Central African Republic","genomic RNA","S","non-structural protein, nucleocapsid",1141,0.0950833333333333,"0-50%","Africa","Western Africa"
"294","OV 35/74","Rift Valley fever phlebovirus","EF530207","738","-N/A-","-N/A-","Unknown","-N/A-","South Africa","viral cRNA","S","nucleoprotein",738,0.0615,"0-50%","Africa","Southern Africa"
"295","0859-08","Rift Valley fever phlebovirus","GQ443155","627","-N/A-","03/24/2008","Cattle","Bos taurus","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"296","S34_ARBkcx_SN_BA_2002","Rift Valley fever phlebovirus","JN995280","601","-N/A-","2003","Mosquito","Aedes vexans","Senegal","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"297","763/70","Rift Valley fever phlebovirus","DQ375426","6404","-N/A-","1970","Unknown","-N/A-","Zimbabwe","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Southern Africa"
"298","74HB59","Rift Valley fever phlebovirus","DQ380163","1690","-N/A-","1974","Human","Homo sapiens","Central African Republic","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Western Africa"
"299","SPU52/99/5","Rift Valley fever phlebovirus","HM587047","490","-N/A-","1999","Bovine","African buffalo","South Africa","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"300","0856-08","Rift Valley fever phlebovirus","GQ443153","627","-N/A-","03/24/2008","Cattle","Bos taurus","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"301","FI-148","Rift Valley fever phlebovirus","GU135851","564","-N/A-","12/19/2008","Mosquito","Culex antennatus","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"302","MgAn991","Rift Valley fever phlebovirus","HM587060","490","-N/A-","1991","Cattle","bovine","Madagascar","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"303","0682-08","Rift Valley fever phlebovirus","GQ443136","627","-N/A-","03/12/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"304","0846-08","Rift Valley fever phlebovirus","GQ443143","627","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"305","Lunyo","Rift Valley fever phlebovirus","HM587119","490","-N/A-","1955","Mosquito","Aedes sp.","Uganda","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"306","BJ01","Rift Valley fever phlebovirus","KX632067","3872","-N/A-","07/22/2016","Human","Homo sapiens","Angola","genomic RNA","M","NSmGnGc",3872,0.322666666666667,"0-50%","Africa","Southern Africa"
"307","Sudan 7-2010","Rift Valley fever phlebovirus","JQ820480","1691","-N/A-","10/2010","Human","Homo sapiens","Sudan","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"308","2007003081","Rift Valley fever phlebovirus","EU574034","3885","-N/A-","02/27/2007","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"309","1586-08","Rift Valley fever phlebovirus","GQ443165","627","-N/A-","04/15/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"310","0854-08","Rift Valley fever phlebovirus","GQ443239","756","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"311","S232_HM_MR_RO_1987","Rift Valley fever phlebovirus","JN995257","601","-N/A-","1987","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"312","211856","Rift Valley fever phlebovirus","KF717591","601","-N/A-","12/05/2010","Human","Homo sapiens","Mauritania","genomic RNA","S","nonstructural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"313","2269/74","Rift Valley fever phlebovirus","DQ375434","6404","-N/A-","1974","Unknown","-N/A-","Zimbabwe","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Southern Africa"
"314","0895-08","Rift Valley fever phlebovirus","GQ443207","564","-N/A-","03/26/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"315","1627-08","Rift Valley fever phlebovirus","GQ443212","564","-N/A-","04/18/2008","Cattle","Bos taurus","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"316","M35_ARBkcx_SN_BA_2003","Rift Valley fever phlebovirus","JN995340","718","-N/A-","2003","Mosquito","Culex poicilipes","Senegal","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"317","0855-08","Rift Valley fever phlebovirus","GQ443152","627","-N/A-","03/24/2008","Cattle","Bos taurus","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"318","ZH-501","Rift Valley fever phlebovirus","DQ375406","6404","-N/A-","1977","Unknown","-N/A-","Egypt","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Northern Africa"
"319","0852-08","Rift Valley fever phlebovirus","GQ443237","756","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"320","S267_ANkda_SN_KO_1993","Rift Valley fever phlebovirus","JN995259","601","-N/A-","1993","Cattle","bovine","Senegal","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"321","M29_ARMcx_MR_AA_1999","Rift Valley fever phlebovirus","JN995321","718","-N/A-","1999","Mosquito","Culex poicilipes","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"322","2007001809","Rift Valley fever phlebovirus","EU574069","1691","-N/A-","12/01/2006","Goat","caprine","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"323","2007000224","Rift Valley fever phlebovirus","EU574083","1691","-N/A-","01/16/2007","Cattle","bovine","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"324","Kenya-128b-15","Rift Valley fever phlebovirus","KX096939","3885","-N/A-","2006","Mosquito","Aedes ochraceus","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"325","227608","Rift Valley fever phlebovirus","KF648856","680","-N/A-","11/02/2012","Human","Homo sapiens","Mauritania","genomic RNA","M","nonstructural glycoprotein",680,0.0566666666666667,"0-50%","Africa","Western Africa"
"326","SPU384/97/1","Rift Valley fever phlebovirus","HM587052","490","-N/A-","1997","Human","Homo sapiens","Kenya","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"327","2007003644","Rift Valley fever phlebovirus","EU574033","3885","-N/A-","02/07/2007","Sheep","ovine","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"328","200803167","Rift Valley fever phlebovirus","JF311382","3885","-N/A-","02/1991","Cattle","bovine","Madagascar","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"329","0897-08","Rift Valley fever phlebovirus","GQ443162","627","-N/A-","03/26/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"330","MgAn1002","Rift Valley fever phlebovirus","HM587057","490","-N/A-","1991","Cattle","bovine","Madagascar","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"331","M1_HM_MR_HS_2003","Rift Valley fever phlebovirus","JN995328","718","-N/A-","2003","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"332","1464-08","Rift Valley fever phlebovirus","GQ443163","627","-N/A-","03/28/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"333","S186_ARKg_SN_KE_1983","Rift Valley fever phlebovirus","JN995251","601","-N/A-","1983","Mosquito","Aedes dalzieli","Senegal","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"334","M2_HM_MR_TI_2003","Rift Valley fever phlebovirus","JN995329","718","-N/A-","2003","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"335","ZH-501","Rift Valley fever phlebovirus","DQ380200","3885","-N/A-","1977","Human","Homo sapiens","Egypt","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Northern Africa"
"336","AL-55","Rift Valley fever phlebovirus","GU135855","564","-N/A-","04/28/2009","Mosquito","Anopheles squamosus","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"337","ZH501EGY77","Rift Valley fever phlebovirus","EU312137","1690","-N/A-","1977","Human","Homo sapiens","Egypt","genomic RNA","S","NP, NSs",1690,0.140833333333333,"0-50%","Africa","Northern Africa"
"338","SPU2215KEN07","Rift Valley fever phlebovirus","EU312142","1691","-N/A-","2007","Human","Homo sapiens","Kenya","genomic RNA","S","NP, NSs",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"339","0851-08","Rift Valley fever phlebovirus","GQ443236","756","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"340","S233_HM_MR_RO_1987","Rift Valley fever phlebovirus","JN995258","601","-N/A-","1987","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"341","FI-148","Rift Valley fever phlebovirus","GU135859","756","-N/A-","12/19/2008","Mosquito","Culex antennatus","Madagascar","genomic RNA","M","glycoprotein Gn",756,0.063,"0-50%","Africa","Eastern Africa"
"342","SPU22/07/4","Rift Valley fever phlebovirus","HM587068","490","-N/A-","2007","Human","Homo sapiens","Kenya","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"343","200803163","Rift Valley fever phlebovirus","JF311387","1691","-N/A-","02/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"344","MgAr811","Rift Valley fever phlebovirus","HM587041","490","-N/A-","1979","Mosquito","Aedes sp.","Madagascar","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"345","2007004194","Rift Valley fever phlebovirus","EU574031","3885","-N/A-","05/14/2007","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"346","M10_ARDwcx_SN_DI_1998","Rift Valley fever phlebovirus","JN995320","718","-N/A-","1998","Mosquito","Culex poicilipes","Senegal","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"347","0682-08","Rift Valley fever phlebovirus","GQ443225","756","-N/A-","03/12/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"348","1586-08","Rift Valley fever phlebovirus","GQ443250","756","-N/A-","04/15/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"349","M303_ARMcx_MR_GI_2003","Rift Valley fever phlebovirus","JN995337","718","-N/A-","2003","Mosquito","Culex poicilipes","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"350","0892-08","Rift Valley fever phlebovirus","GQ443160","627","-N/A-","03/26/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"351","2007004193","Rift Valley fever phlebovirus","EU574032","3885","-N/A-","04/23/2007","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"352","2007001292","Rift Valley fever phlebovirus","EU574046","3885","-N/A-","01/31/2007","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"353","S303_ARMcx_MR_GI_2003","Rift Valley fever phlebovirus","JN995290","601","-N/A-","2003","Mosquito","Culex poicilipes","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"354","FI-152","Rift Valley fever phlebovirus","GU135852","564","-N/A-","12/20/2008","Mosquito","Culex antennatus","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"355","SPU22/07/125","Rift Valley fever phlebovirus","HM587063","490","-N/A-","2007","Human","Homo sapiens","Kenya","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"356","FI-79","Rift Valley fever phlebovirus","GU135858","756","-N/A-","12/20/2008","Mosquito","Anopheles squamosus","Madagascar","genomic RNA","M","glycoprotein Gn",756,0.063,"0-50%","Africa","Eastern Africa"
"357","SA52/08","Rift Valley fever phlebovirus","HM587069","490","-N/A-","2008","Human","Homo sapiens","South Africa","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"358","0851-08","Rift Valley fever phlebovirus","GQ443196","564","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"359","Sudan 86-2010","Rift Valley fever phlebovirus","JQ820489","3883","-N/A-","10/2010","Human","Homo sapiens","Sudan","genomic RNA","M","glycoprotein",3883,0.323583333333333,"0-50%","Africa","Eastern Africa"
