"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","days","date","date2","date4","date5","Continent","Continent_Region"
"269","Brazil/2016/INMI1","Zika virus","Asian","KU991811","10643","-N/A-",2016-03-06,"Human","Homo sapiens","Italy","genomic RNA",10643,0.967545454545455,">90%",2016-03-06,2016-03-06,2016-03-06,2016-02-21,2016-01-01,"Europe","Western Europe"
"270","ZIKV/Homo_sapiens/Brazil/2016/ZBRX106","Zika virus","Asian","KY559020","9391","-N/A-",2016-03-07,"Human","Homo sapiens","Brazil","genomic RNA",9391,0.853727272727273,"50-90%",2016-03-07,2016-03-06,2016-03-06,2016-02-21,2016-01-01,"South America","Brazil"
"271","COL/FH03/2016","Zika virus","Asian","MK049246","10385","-N/A-",2016-03-09,"Human","Homo sapiens","Colombia","genomic RNA",10385,0.944090909090909,">90%",2016-03-09,2016-03-06,2016-03-06,2016-02-21,2016-01-01,"South America","Rest South America"
"272","ZIKV/Homo_sapiens/Brazil/2016/ZBRX127","Zika virus","Asian","KY559021","10306","-N/A-",2016-03-10,"Human","Homo sapiens","Brazil","genomic RNA",10306,0.936909090909091,">90%",2016-03-10,2016-03-06,2016-03-06,2016-02-21,2016-01-01,"South America","Brazil"
"273","AMA5","Zika virus","Asian","MK216688","10338","-N/A-",2016-03-10,"Human","Homo sapiens; female","Brazil","genomic RNA",10338,0.939818181818182,">90%",2016-03-10,2016-03-06,2016-03-06,2016-02-21,2016-01-01,"South America","Brazil"
"274","ZIKV/Homo_sapiens/Brazil/2016/ZBRX128","Zika virus","Asian","KY559022","9673","-N/A-",2016-03-13,"Human","Homo sapiens","Brazil","genomic RNA",9673,0.879363636363636,"50-90%",2016-03-13,2016-03-13,2016-03-06,2016-02-21,2016-01-01,"South America","Brazil"
"275","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ5D1-URI","Zika virus","Asian","KY785437","10366","-N/A-",2016-03-14,"Human","Homo sapiens","Brazil","genomic RNA",10366,0.942363636363636,">90%",2016-03-14,2016-03-13,2016-03-06,2016-02-21,2016-01-01,"South America","Brazil"
"276","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ12D1-PLA","Zika virus","Asian","KY785436","10032","-N/A-",2016-03-15,"Human","Homo sapiens","Brazil","genomic RNA",10032,0.912,">90%",2016-03-15,2016-03-13,2016-03-06,2016-02-21,2016-01-01,"South America","Brazil"
"277","AMA6","Zika virus","Asian","MK216691","9703","-N/A-",2016-03-15,"Human","Homo sapiens; female","Brazil","genomic RNA",9703,0.882090909090909,"50-90%",2016-03-15,2016-03-13,2016-03-06,2016-02-21,2016-01-01,"South America","Brazil"
"278","AMA9","Zika virus","Asian","MK216690","10338","-N/A-",2016-03-18,"Human","Homo sapiens; female","Brazil","genomic RNA",10338,0.939818181818182,">90%",2016-03-18,2016-03-13,2016-03-06,2016-02-21,2016-01-01,"South America","Brazil"
"279","1008_16","Zika virus","Asian","MT439645","10625","-N/A-",2016-03-18,"Human","Homo sapiens","Brazil","genomic RNA",10625,0.965909090909091,">90%",2016-03-18,2016-03-13,2016-03-06,2016-02-21,2016-01-01,"South America","Brazil"
"280","MU-DMSC-1/2016","Zika virus",NA,"MT377492","10619","-N/A-",2016-03-20,"Human","Homo sapiens","Thailand","genomic RNA",10619,0.965363636363636,">90%",2016-03-20,2016-03-20,2016-03-20,2016-03-20,2016-01-01,"Asia","Southeastern Asia"
"281","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ28D1-URI","Zika virus","Asian","KY014317","10752","-N/A-",2016-03-21,"Human","Homo sapiens","Brazil","genomic RNA",10752,0.977454545454545,">90%",2016-03-21,2016-03-20,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"282","1295_16","Zika virus","Asian","MT439638","9749","-N/A-",2016-03-21,"Human","Homo sapiens","Brazil","genomic RNA",9749,0.886272727272727,"50-90%",2016-03-21,2016-03-20,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"283","ZIKV/Homo_sapiens/Brazil/2016/ZBRX130","Zika virus","Asian","KY559023","10520","-N/A-",2016-03-22,"Human","Homo sapiens","Brazil","genomic RNA",10520,0.956363636363636,">90%",2016-03-22,2016-03-20,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"284","ZIKV/Homo_sapiens/USA/2016/FL001Sa","Zika virus","Asian","KY075932","10605","-N/A-",2016-03-22,"Human","Homo sapiens","United States of America","genomic RNA",10605,0.964090909090909,">90%",2016-03-22,2016-03-20,2016-03-20,2016-03-20,2016-01-01,"North America","USA"
"285","Zika virus/H.sapiens-wt/MTQ/2016/FL-001-SAL","Zika virus","Asian","KY785451","10345","-N/A-",2016-03-22,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",10345,0.940454545454545,">90%",2016-03-22,2016-03-20,2016-03-20,2016-03-20,2016-01-01,NA,NA
"286","Zika virus/H.sapiens-wt/BRA/2016/FC-5790-SER","Zika virus","Asian","KY785446","10034","-N/A-",2016-03-22,"Human","Homo sapiens","Brazil","genomic RNA",10034,0.912181818181818,">90%",2016-03-22,2016-03-20,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"287","Zika/Brazil/16321","Zika virus","Asian","KY120352","10272","-N/A-",2016-03-22,"Human","Homo sapiens","South Korea","genomic RNA",10272,0.933818181818182,">90%",2016-03-22,2016-03-20,2016-03-20,2016-03-20,2016-01-01,"Asia","Korea"
"288","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ42D1-URI","Zika virus","Asian","KY014320","10751","-N/A-",2016-03-23,"Human","Homo sapiens","Brazil","genomic RNA",10751,0.977363636363636,">90%",2016-03-23,2016-03-20,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"289","Zika virus/H.sapiens-wt/BRA/2016/FC-5905-SER","Zika virus","Asian","KY014308","10365","-N/A-",2016-03-23,"Human","Homo sapiens","Brazil","genomic RNA",10365,0.942272727272727,">90%",2016-03-23,2016-03-20,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"290","1377_16","Zika virus","Asian","MT439640","9702","-N/A-",2016-03-24,"Human","Homo sapiens","Brazil","genomic RNA",9702,0.882,"50-90%",2016-03-24,2016-03-20,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"291","Zika virus/Homo sapiens/VEN/UF-2/2016","Zika virus","Asian","KX893855","10808","-N/A-",2016-03-25,"Human","Homo sapiens; symptomatic breast-feeding infant","Venezuela","genomic RNA",10808,0.982545454545454,">90%",2016-03-25,2016-03-20,2016-03-20,2016-03-20,2016-01-01,"South America","Rest South America"
"292","Zika virus/Homo sapiens/VEN/UF-1/2016","Zika virus","Asian","KX702400","10808","-N/A-",2016-03-25,"Human","Homo sapiens; lactating female with acute symptoms","Venezuela","genomic RNA",10808,0.982545454545454,">90%",2016-03-25,2016-03-20,2016-03-20,2016-03-20,2016-01-01,"South America","Rest South America"
"293","Zika virus/H.sapiens-wt/BRA/2016/FC-6418-SER","Zika virus","Asian","KY785410","10363","-N/A-",2016-03-27,"Human","Homo sapiens","Brazil","genomic RNA",10363,0.942090909090909,">90%",2016-03-27,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"294","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ47D1-PLA","Zika virus","Asian","KY014309","10454","-N/A-",2016-03-28,"Human","Homo sapiens","Brazil","genomic RNA",10454,0.950363636363636,">90%",2016-03-28,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"295","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ49D1-PLA","Zika virus","Asian","KY014307","10455","-N/A-",2016-03-28,"Human","Homo sapiens","Brazil","genomic RNA",10455,0.950454545454545,">90%",2016-03-28,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"296","ZIKV/Homo sapiens/HND/2016/Honduras-1122","Zika virus","Asian","MF801387","10682","-N/A-",2016-03-29,"Human","Homo sapiens","Honduras","genomic RNA",10682,0.971090909090909,">90%",2016-03-29,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Rest Central America"
"297","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ60D1-PLA","Zika virus","Asian","KY785411","6082","-N/A-",2016-03-30,"Human","Homo sapiens","Brazil","genomic RNA",6082,0.552909090909091,"50-90%",2016-03-30,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"298","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ62D1-PLA","Zika virus","Asian","KY785480","10123","-N/A-",2016-03-30,"Human","Homo sapiens","Brazil","genomic RNA",10123,0.920272727272727,">90%",2016-03-30,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"299","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ60D1-URI","Zika virus","Asian","KY785479","10364","-N/A-",2016-03-30,"Human","Homo sapiens","Brazil","genomic RNA",10364,0.942181818181818,">90%",2016-03-30,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"300","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ58D1-PLA","Zika virus","Asian","KY785427","10367","-N/A-",2016-03-30,"Human","Homo sapiens","Brazil","genomic RNA",10367,0.942454545454545,">90%",2016-03-30,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"301","GO25","Zika virus","Asian","OL423652","10385","-N/A-",2016-03-31,"Human","Homo sapiens","Brazil","genomic RNA",10385,0.944090909090909,">90%",2016-03-31,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"302","ZIKV/34997/Pavia/2016","Zika virus","Asian","KY003153","10609","-N/A-",2016-04-01,"Human","Homo sapiens","Italy","viral cRNA",10609,0.964454545454545,">90%",2016-04-01,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"Europe","Western Europe"
"303","ZIKV/VR10599/Pavia/2016","Zika virus","Asian","KY003154","10609","-N/A-",2016-04-01,"Human","Homo sapiens","Italy","viral cRNA",10609,0.964454545454545,">90%",2016-04-01,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"Europe","Western Europe"
"304","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ68D1-URI","Zika virus","Asian","KY785467","6697","-N/A-",2016-04-01,"Human","Homo sapiens","Brazil","genomic RNA",6697,0.608818181818182,"50-90%",2016-04-01,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"305","AFMC-S","Zika virus","Asian","KY962729","9063","-N/A-",2016-04-01,"Human","Homo sapiens","South Korea","genomic RNA",9063,0.823909090909091,"50-90%",2016-04-01,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"Asia","Korea"
"306","AFMC-U","Zika virus","Asian","KY553111","10795","-N/A-",2016-04-01,"Human","Homo sapiens","South Korea","genomic RNA",10795,0.981363636363636,">90%",2016-04-01,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"Asia","Korea"
"307","ZIKV/EC/Esmeraldas/062/2016","Zika virus","Asian","KX879603","10812","-N/A-",2016-04-01,"Human","Homo sapiens","Ecuador","genomic RNA",10812,0.982909090909091,">90%",2016-04-01,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Rest South America"
"308","ZIKV/EC/Esmeraldas/089/2016","Zika virus","Asian","KX879604","10810","-N/A-",2016-04-01,"Human","Homo sapiens","Ecuador","genomic RNA",10810,0.982727272727273,">90%",2016-04-01,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Rest South America"
"309","AMA13","Zika virus","Asian","MK216692","10338","-N/A-",2016-04-01,"Human","Homo sapiens; male","Brazil","genomic RNA",10338,0.939818181818182,">90%",2016-04-01,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"310","GO24","Zika virus","Asian","OL423653","10386","-N/A-",2016-04-01,"Human","Homo sapiens","Brazil","genomic RNA",10386,0.944181818181818,">90%",2016-04-01,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"South America","Brazil"
"311","3015","Zika virus",NA,"MW915411","10661","-N/A-",2016-04-02,"Human","Homo sapiens","Vietnam","genomic RNA",10661,0.969181818181818,">90%",2016-04-02,2016-03-27,2016-03-20,2016-03-20,2016-01-01,"Asia","Southeastern Asia"
"312","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ75D1-URI","Zika virus","Asian","KY785426","10365","-N/A-",2016-04-04,"Human","Homo sapiens","Brazil","genomic RNA",10365,0.942272727272727,">90%",2016-04-04,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"313","Zika virus/H.sapiens-wt/DOM/2016/BB-0059-SER","Zika virus","Asian","KY785425","10035","-N/A-",2016-04-04,"Human","Homo sapiens","Dominican Republic","genomic RNA",10035,0.912272727272727,">90%",2016-04-04,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"314","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ75D1-PLA","Zika virus","Asian","KY785409","8846","-N/A-",2016-04-04,"Human","Homo sapiens","Brazil","genomic RNA",8846,0.804181818181818,"50-90%",2016-04-04,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"315","Zika virus/H.sapiens-wt/BRA/2016/FC-6696-SER","Zika virus","Asian","KY014313","10366","-N/A-",2016-04-05,"Human","Homo sapiens","Brazil","genomic RNA",10366,0.942363636363636,">90%",2016-04-05,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"316","Zika virus/H.sapiens-wt/DOM/2016/BB-0076-SER","Zika virus","Asian","KY014305","10366","-N/A-",2016-04-05,"Human","Homo sapiens","Dominican Republic","genomic RNA",10366,0.942363636363636,">90%",2016-04-05,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"317","Zika virus/H.sapiens-wt/DOM/2016/BB-0076-URI","Zika virus","Asian","KY785423","10367","-N/A-",2016-04-05,"Human","Homo sapiens","Dominican Republic","genomic RNA",10367,0.942454545454545,">90%",2016-04-05,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"318","Zika virus/H.sapiens-wt/COL/2016/SU-2724A-SER","Zika virus","Asian","KY785469","10597","-N/A-",2016-04-05,"Human","Homo sapiens","Colombia","genomic RNA",10597,0.963363636363636,">90%",2016-04-05,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Rest South America"
"319","Zika virus/H.sapiens-wt/DOM/2016/BB-0071-SER","Zika virus","Asian","KY785463","10455","-N/A-",2016-04-05,"Human","Homo sapiens","Dominican Republic","genomic RNA",10455,0.950454545454545,">90%",2016-04-05,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"320","Zika virus/H.sapiens-wt/DOM/2016/BB-0071-URI","Zika virus","Asian","KY785449","10364","-N/A-",2016-04-05,"Human","Homo sapiens","Dominican Republic","genomic RNA",10364,0.942181818181818,">90%",2016-04-05,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"321","BR_SJRP61","Zika virus","Asian","KY441402","10662","-N/A-",2016-04-05,"Human","Homo sapiens","Brazil","genomic RNA",10662,0.969272727272727,">90%",2016-04-05,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"322","AMA32","Zika virus","Asian","MK216705","9421","-N/A-",2016-04-05,"Human","Homo sapiens; female","Brazil","genomic RNA",9421,0.856454545454545,"50-90%",2016-04-05,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"323","AMA15","Zika virus","Asian","MK216694","8821","-N/A-",2016-04-05,"Human","Homo sapiens; male","Brazil","genomic RNA",8821,0.801909090909091,"50-90%",2016-04-05,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"324","AMA16","Zika virus","Asian","MK216695","10338","-N/A-",2016-04-05,"Human","Homo sapiens; female","Brazil","genomic RNA",10338,0.939818181818182,">90%",2016-04-05,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"325","1524_16","Zika virus","Asian","MT439641","10370","-N/A-",2016-04-05,"Human","Homo sapiens","Brazil","genomic RNA",10370,0.942727272727273,">90%",2016-04-05,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"326","Zika virus/H.sapiens-wt/COL/2016/SU-1810A-SER","Zika virus","Asian","KY785417","10454","-N/A-",2016-04-06,"Human","Homo sapiens","Colombia","genomic RNA",10454,0.950363636363636,">90%",2016-04-06,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Rest South America"
"327","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ62D2-URI","Zika virus","Asian","KY785455","10732","-N/A-",2016-04-06,"Human","Homo sapiens","Brazil","genomic RNA",10732,0.975636363636364,">90%",2016-04-06,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"328","AMA14","Zika virus","Asian","MK216693","9703","-N/A-",2016-04-06,"Human","Homo sapiens; female","Brazil","genomic RNA",9703,0.882090909090909,"50-90%",2016-04-06,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"329","1609_16","Zika virus","Asian","MT439642","10627","-N/A-",2016-04-06,"Human","Homo sapiens","Brazil","genomic RNA",10627,0.966090909090909,">90%",2016-04-06,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"330","1820_16","Zika virus","Asian","MT439646","10627","-N/A-",2016-04-06,"Human","Homo sapiens","Brazil","genomic RNA",10627,0.966090909090909,">90%",2016-04-06,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"331","Zika virus/H.sapiens-wt/DOM/2016/BB-0085-SER","Zika virus","Asian","KY785483","8806","-N/A-",2016-04-07,"Human","Homo sapiens","Dominican Republic","genomic RNA",8806,0.800545454545455,"50-90%",2016-04-07,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"332","Zika virus/H.sapiens-wt/DOM/2016/BB-0091-SER","Zika virus","Asian","KY785475","10366","-N/A-",2016-04-07,"Human","Homo sapiens","Dominican Republic","genomic RNA",10366,0.942363636363636,">90%",2016-04-07,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"333","Zika virus/H.sapiens-wt/DOM/2016/BB-0085-URI","Zika virus","Asian","KY785465","10453","-N/A-",2016-04-07,"Human","Homo sapiens","Dominican Republic","genomic RNA",10453,0.950272727272727,">90%",2016-04-07,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"334","Zika virus/H.sapiens-wt/BRA/2016/FC-6703-SER","Zika virus","Asian","KY785439","10343","-N/A-",2016-04-08,"Human","Homo sapiens","Brazil","genomic RNA",10343,0.940272727272727,">90%",2016-04-08,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"335","Zika virus/H.sapiens-wt/BRA/2016/FC-6706-SER","Zika virus","Asian","KY785433","10366","-N/A-",2016-04-08,"Human","Homo sapiens","Brazil","genomic RNA",10366,0.942363636363636,">90%",2016-04-08,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"336","AMA19","Zika virus","Asian","MK216696","10338","-N/A-",2016-04-08,"Human","Homo sapiens; male","Brazil","genomic RNA",10338,0.939818181818182,">90%",2016-04-08,2016-04-03,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"337","Zika virus/H.sapiens-wt/DOM/2016/BB-0115-SER","Zika virus","Asian","KY014321","10782","-N/A-",2016-04-11,"Human","Homo sapiens","Dominican Republic","genomic RNA",10782,0.980181818181818,">90%",2016-04-11,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"338","Zika virus/H.sapiens-wt/DOM/2016/BB-0127-SER","Zika virus","Asian","KY014303","10739","-N/A-",2016-04-11,"Human","Homo sapiens","Dominican Republic","genomic RNA",10739,0.976272727272727,">90%",2016-04-11,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"339","Zika virus/H.sapiens-wt/DOM/2016/BB-0115-URI","Zika virus","Asian","KY785415","10456","-N/A-",2016-04-11,"Human","Homo sapiens","Dominican Republic","genomic RNA",10456,0.950545454545455,">90%",2016-04-11,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"340","ZIKV/Homo sapiens/GTM/2016/Guatemala-2411","Zika virus","Asian","MF801380","10665","-N/A-",2016-04-11,"Human","Homo sapiens","Guatemala","genomic RNA",10665,0.969545454545455,">90%",2016-04-11,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"341","2032_16","Zika virus","Asian","MT439639","10092","-N/A-",2016-04-11,"Human","Homo sapiens","Brazil","genomic RNA",10092,0.917454545454545,">90%",2016-04-11,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"342","Zika virus/H.sapiens-wt/BRA/2016/FC-6864-URI","Zika virus","Asian","KY014297","10602","-N/A-",2016-04-12,"Human","Homo sapiens","Brazil","genomic RNA",10602,0.963818181818182,">90%",2016-04-12,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"343","Zika virus/H.sapiens-wt/PRI/2016/MA-WGS16-005-SER","Zika virus","Asian","KY785481","10058","-N/A-",2016-04-12,"Human","Homo sapiens","Puerto Rico","genomic RNA",10058,0.914363636363636,">90%",2016-04-12,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"344","Zika virus/H.sapiens-wt/BRA/2016/FC-6863-SER","Zika virus","Asian","KY785450","10455","-N/A-",2016-04-12,"Human","Homo sapiens","Brazil","genomic RNA",10455,0.950454545454545,">90%",2016-04-12,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"345","1685_16","Zika virus","Asian","MT439643","10627","-N/A-",2016-04-12,"Human","Homo sapiens","Brazil","genomic RNA",10627,0.966090909090909,">90%",2016-04-12,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"346","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ107D1-URI","Zika virus","Asian","KY014301","10361","-N/A-",2016-04-13,"Human","Homo sapiens","Brazil","genomic RNA",10361,0.941909090909091,">90%",2016-04-13,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"347","Zika virus/H.sapiens-wt/PRI/2016/MA-WGS16-004-SER","Zika virus","Asian","KY785464","10453","-N/A-",2016-04-13,"Human","Homo sapiens","Puerto Rico","genomic RNA",10453,0.950272727272727,">90%",2016-04-13,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"348","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ116D1-PLA","Zika virus","Asian","KY785429","10455","-N/A-",2016-04-14,"Human","Homo sapiens","Brazil","genomic RNA",10455,0.950454545454545,">90%",2016-04-14,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"349","1860_16","Zika virus","Asian","MT439647","10627","-N/A-",2016-04-14,"Human","Homo sapiens","Brazil","genomic RNA",10627,0.966090909090909,">90%",2016-04-14,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"350","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ122D1-PLA","Zika virus","Asian","KY785456","10455","-N/A-",2016-04-15,"Human","Homo sapiens","Brazil","genomic RNA",10455,0.950454545454545,">90%",2016-04-15,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"351","ZIKV/Homo_sapiens/Brazil/2016/ZBRE69","Zika virus","Asian","KY559004","10309","-N/A-",2016-04-16,"Human","Homo sapiens","Brazil","genomic RNA",10309,0.937181818181818,">90%",2016-04-16,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Brazil"
"352","2016\HND\19563","Zika virus","Asian","KX906952","10745","-N/A-",2016-04-16,"Human","Homo sapiens","Honduras","genomic RNA",10745,0.976818181818182,">90%",2016-04-16,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"South America","Rest Central America"
"353","ZKC2P4","Zika virus","Asian","MG674718","10807","-N/A-",2016-04-16,"Human","Homo sapiens","China","genomic RNA",10807,0.982454545454545,">90%",2016-04-16,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"Asia","China+"
"354","ZKC2P6","Zika virus","Asian","MG674719","10786","-N/A-",2016-04-16,"Human","Homo sapiens","China","genomic RNA",10786,0.980545454545454,">90%",2016-04-16,2016-04-10,2016-04-03,2016-03-20,2016-01-01,"Asia","China+"
"355","ZIKV/Homo_sapiens/Brazil/2016/ZBRX1","Zika virus","Asian","KY559005","10565","-N/A-",2016-04-18,"Human","Homo sapiens","Brazil","genomic RNA",10565,0.960454545454545,">90%",2016-04-18,2016-04-17,2016-04-17,2016-04-17,2016-01-01,"South America","Brazil"
"356","ZIKV/Homo_sapiens/Brazil/2016/ZBRX2","Zika virus","Asian","KY559006","10565","-N/A-",2016-04-18,"Human","Homo sapiens","Brazil","genomic RNA",10565,0.960454545454545,">90%",2016-04-18,2016-04-17,2016-04-17,2016-04-17,2016-01-01,"South America","Brazil"
"357","ZIKV/Homo_sapiens/Brazil/2016/ZBRX4","Zika virus","Asian","KY559007","10565","-N/A-",2016-04-18,"Human","Homo sapiens","Brazil","genomic RNA",10565,0.960454545454545,">90%",2016-04-18,2016-04-17,2016-04-17,2016-04-17,2016-01-01,"South America","Brazil"
"358","Zika virus/H.sapiens-wt/DOM/2016/BB-0180-SER","Zika virus","Asian","KY014304","10783","-N/A-",2016-04-18,"Human","Homo sapiens","Dominican Republic","genomic RNA",10783,0.980272727272727,">90%",2016-04-18,2016-04-17,2016-04-17,2016-04-17,2016-01-01,"South America","Rest Central America"
"359","Zika virus/H.sapiens-wt/BRA/2016/FC-DQ131D1-URI","Zika virus","Asian","KY014296","10788","-N/A-",2016-04-18,"Human","Homo sapiens","Brazil","genomic RNA",10788,0.980727272727273,">90%",2016-04-18,2016-04-17,2016-04-17,2016-04-17,2016-01-01,"South America","Brazil"
"360","Zika virus/H.sapiens-wt/DOM/2016/BB-0183-SER","Zika virus","Asian","KY785420","10621","-N/A-",2016-04-18,"Human","Homo sapiens","Dominican Republic","genomic RNA",10621,0.965545454545455,">90%",2016-04-18,2016-04-17,2016-04-17,2016-04-17,2016-01-01,"South America","Rest Central America"
"361","Zika virus/H.sapiens-wt/DOM/2016/BB-0180-URI","Zika virus","Asian","KY785476","10456","-N/A-",2016-04-18,"Human","Homo sapiens","Dominican Republic","genomic RNA",10456,0.950545454545455,">90%",2016-04-18,2016-04-17,2016-04-17,2016-04-17,2016-01-01,"South America","Rest Central America"
"362","ZIKV/Homo_sapiens/Brazil/2016/ZBRX6","Zika virus","Asian","KY559008","9673","-N/A-",2016-04-19,"Human","Homo sapiens","Brazil","genomic RNA",9673,0.879363636363636,"50-90%",2016-04-19,2016-04-17,2016-04-17,2016-04-17,2016-01-01,"South America","Brazil"
"363","ZIKV/Homo_sapiens/Brazil/2016/ZBRX7","Zika virus","Asian","KY559009","10309","-N/A-",2016-04-19,"Human","Homo sapiens","Brazil","genomic RNA",10309,0.937181818181818,">90%",2016-04-19,2016-04-17,2016-04-17,2016-04-17,2016-01-01,"South America","Brazil"
"364","ZIKV/Homo_sapiens/Brazil/2016/ZBRX8","Zika virus","Asian","KY559010","10310","-N/A-",2016-04-19,"Human","Homo sapiens","Brazil","genomic RNA",10310,0.937272727272727,">90%",2016-04-19,2016-04-17,2016-04-17,2016-04-17,2016-01-01,"South America","Brazil"
